aakkosellinen	الفبایی
aate	سبب ، علت ، موجب ، انگیزه ، هدف ، مرافعه ، موضوع منازع فیه ، نهضت ، جنبش ، سبب شدن ، واداشتن ، ایجاد کردن (غالبا بامصدر), انگاره ، تصور ، اندیشه ، فکر ، خیال ، گمان ، نیت ، مقصود ، معنی ، اگاهی ، خبر ، نقشه کار ، طرزفکر, کمال مطلوب ، هدف زندگی ، ارمان ، ارزو ، ایده ال ، دلخواه, مبحث افکار و ارزوهای باطنی ، خیال ، طرز تفکر ، ایدءولوژی ، انگارگان, گمان ، اندیشه ، فکر ، افکار ، خیال ، عقیده ، نظر ، قصد ، سر ، مطلب ، چیزفکری ، استدلا ل ، تفکر
aatelinen	عضو دسته ء اشراف ، طرفدار حکومت اشراف ، نجیب زاده, اشرافی ، اعیانی, عضو طبقه اشراف ، نجیب زاده ، اشراف زاده, ازاده ، اصیل ، شریف ، نجیب ، باشکوه, نجیب زاده, نجیب زاده ، اعیان زاده ، شریف ، اشرافی
aatelisarvo	مقام سلحشوری ، سمت سلحشوری ، شوالیه گری, مقام سناتوری ، مقام اشرافی ، اعیانی, کنیه ، لقب ، سمت ، عنوان ، اسم ، مقام ، نام ، حق ، استحقاق ، سند ، صفحه عنوان کتاب ، عنوان نوشتن ، واگذارکردن ، عنوان دادن به ، لقب دادن ، نام نهادن
aatelismies	اقا ، شخص محترم ، ادم با تربیت ، اصیل, نجیب زاده, همتا ، جفت ، قرین ، همشان ، عضو مجلس اعیان ، صاحب لقب اشرافی ، رفیق ، برابر کردن ، هم درجه کردن ، بدرجه اشرافی (مثل کنت وغیره) رسیدن ، برابر بودن با ، بدقت نگریستن ، باریک شدن ، نمایان شدن ، بنظررسیدن ، همال
aatelisnainen	بانو ، خانم ، زوجه ، رءیسه خانه
aateliton	عمومی ، معمولی ، متعارفی ، عادی ، مشترک ، پیش پاافتاده ، پست ، عوامانه ، : مردم عوام ، عمومی ، مشارکت کردن ، مشاع بودن ، مشترکا استفاده کردن, شخص غیر اشرافی, زبون ، فروتن ، متواضع ، محقر ، پست ، بدون ارتفاع ، پست کردن ، فروتنی کردن ، شکسته نفسی کردن, خوار ، دون ، پست ، صغیر ، افتاده ، فروتن ، بی ادب ، بطورپست
aateluus	نجابت ، اصالت خانوادگی ، طبقه نجبا
aatos	گمان ، اندیشه ، فکر ، افکار ، خیال ، عقیده ، نظر ، قصد ، سر ، مطلب ، چیزفکری ، استدلا ل ، تفکر
aatto	شب عید ، شب ، شامگاه ، در شرف ، حوا ، جنس زن
aava	پهن ، عریض ، گشاد ، پهناور ، زن هرزه, پهنا ، وسعت ، فضای زیاد ، بسط و توسعه ، گسترش, متمایل به توسعه, باز ، ازاد ، اشکار ، باز کردن ، باز شدن, فراخ ، جادار ، وسیع ، جامع ، گشاد ، فضادار ، مفصل, پهن ، عریض ، گشاد ، فراخ ، وسیع ، پهناور ، زیاد ، پرت ، کاملا باز ، عمومی ، نامحدود ، وسیع
aave	ظهور ، خیال ، روح ، تجسم ، شبح ، منظر, شبح ، روح ، روان ، جان ، خیال ، تجسم روح ، چون روح بر خانه ها و غیره سرزدن, خیال ، منظر ، ظاهر فریبنده ، شبح ، خیالی ، روح, سایه ، حباب چراغ یا فانوس ، اباژور ، سایه بان ، جای سایه دار ، اختلا ف جزءی ، سایه رنگ ، سایه دار کردن ، سایه افکندن ، تیره کردن ، کم کردن ، زیر وبم کردن, شبح ، روح ، خیال وفکر ، تخیل ، وهم, شبح ، روح ، خیال وفکر ، تخیل ، هم, روح ، شبح ، دیو ، جن ، ترساندن, خیال ، منظر ، روح ، شبح ، روح مرده کمی قبل یا پس از مرگ
aavemainen	روح مانند ، روحی ، خیالی ، طیفی ، بینایی, شبح وار
aavikko	بیابان ، دشت ، صحرا ، شایستگی ، استحقاق ، سزاواری ، :ول کردن ، ترک کردن ، گریختن, پهن ، مسطح ، هموار ، صاف ، برابر ، واضح ، اشکار ، رک و ساده ، ساده ، جلگه ، دشت ، هامون ، میدان یا محوطه جنگ ، بدقیافه ، شکوه ، شکوه کردن, چمن ، چمنزار ، مرغزار ، فلا ت چمن زار
aavistaa	حدس ، گمان ، ظن ، تخمین ، فرض ، حدس زدن ، تخمین زدن
aavistus	احساس ، حس, انگاره ، تصور ، اندیشه ، فکر ، خیال ، گمان ، نیت ، مقصود ، معنی ، اگاهی ، خبر ، نقشه کار ، طرزفکر, اشاره ، پی ، اطلا ع مختصری که با ان به چیزی پی برند ، گزارش ، اگاهی ، خبر ، کوره خبر, حواس پنجگانه ، حس ، احساس ، هوش ، شعور ، معنی ، مفاد ، حس تشخیص ، مفهوم ، احساس کردن ، پی بردن, بدگمانی ، سوء ظن ، تردید ، مظنون بودن
abi	قبول شده در دانشگاه
abiturientti	قبول شده در دانشگاه
abortti	سقط جنین ، بچه اندازی ، سقط نوزاد نارس یا رشد نکرده ، عدم تکامل
absoluuttinen	مطلق ، غیر مشروط ، مستقل ، استبدادی ، خودرای ، کامل ، قطعی ، خالص ، ازاد از قیود فکری ، غیر مقید ، مجرد ، دایره نامحدود
absorboiva	جاذب ، جالب ، دلربا ، جذاب ، درکش ، دراشام
abstrakti	ربودن ، بردن ، کش رفتن ، خلا صه کردن ، جداکردن ، تجزیه کردن ، جوهرگرفتن از ، عاری ازکیفیات واقعی(در مورد هنرهای ظریف)نمودن ، :خلا صه ، مجمل ، خلا صه ء کتاب ، مجرد ، مطلق ، خیالی ، غیرعملی ، بی مسمی ، خشک ، معنوی ، صریح ، زبده ، انتزاعی ، معنی
abstraktio	تجرید ، انتزاع ، چکیدگی
additiivinen	افزودنی ، افزاینده ، :(ش.) ماده ای که برای افزایش خواص ماده ء دیگری به ان اضافه شود
adjungaatti	همدست ، کمک ، مشوق ، ضمیمه ، معاون ، یار ، دستیار ، معاون استاد
adjunkti	همدست ، کمک ، مشوق ، ضمیمه ، معاون ، یار ، دستیار ، معاون استاد
adjutantti	یار ، کمک ، مساعد ، یاور ، اجودان ، معین
adoptio	مربوط به قضیه پسر خواندگی عیسی(نسبت به خدا) ، اختیار ، اتخاذ ، قبول ، اقتباس ، استعمال لغت بیگانه بدون تغییر شکل ان ، قبول به فرزندی ، فرزند خواندگی
adventti	ظهور و ورود (چهار یکشنبه قبل از میلا د مسیح)
adverbi	قید ، ظرف ، معین فعل ، قیدی ، عبارت قیدی
aerosoli	تعلیق مایع یا جسم بصورت گرد و گاز در هوا
af ri	کار ، امر ، کاروبار ، عشقبازی(با جمع هم میاید), مقدار ، اندازه ، قدر ، حد ، معامله کردن ، سر و کار داشتن با ، توزیع کردن
affiini	نسبت سلبی ، نسبت ازدواجی
affiininen	نسبت سلبی ، نسبت ازدواجی
afrikka	افریقا
afrikkalainen	افریقایی
agentti	پیشکار ، نماینده ، گماشته ، وکیل ، مامور ، عامل
aggressiivinen	پرخاشگر ، متجاوز ، مهاجم ، پرپشتکار ، پرتکاپو ، سلطه جو
agnostikko	عرفای منکر وجود خدا
ahdas	تنگ ، کم پهنا ، باریک ، دراز و باریک ، کم پهنا ، محدود ، باریک کردن ، محدود کردن ، کوته فکر, سفت ، محکم ، تنگ (تانگ) ، کیپ ، مانع دخول هوا یا اب یا چیز دیگر ، خسیس ، کساد
ahdinko	بدبختی ، فلا کت ، ادبار و مصیبت ، روزبد, پریشانی ، اندوه ، محنت ، تنگدستی ، درد ، مضطرب کردن ، محنت زده کردن, امتحان سخت برای اثبات بیگناهای ، کار شاق, محاکمه ، دادرسی ، ازمایش ، امتحان ، رنج ، کوشش, محنت ، رنج ، ازمایش سخت ، عذاب ، اختلا ل, ازار ، ازار دادن ، رنجه کردن ، زحمت دادن ، دچار کردن ، اشفتن ، مصدع شدن ، مزاحمت ، زحمت ، رنجه
ahdistaa	دلخورکردن ، ازردن ، رنجاندن ، اذیت کردن ، بستوه اوردن ، خشمگین کردن ، تحریک کردن ، مزاحم شدن, دستفروش ، دوره گرد ، خرده فروش ، گورکن ، خرسک ، شغاره ، :سربسر گذاشتن ، اذیت کردن ، ازار کردن, طعمه دادن ، خوراک دادن ، طعمه رابه قلا ب ماهیگیری بست
ahdistus	ارنگ ، تشویش ، دل واپسی ، اضطراب ، اندیشه ، اشتیاق ، نگرانی
ahertaa	هل دادن ، فشار دادن ، تکان دادن ، بزور وادار کردن ، پیش بردن ، فریفتن ، گول زدن ، تکان ، شتاب ، عجله ، فشار ، زور
ahkera	مشغول ، اشغال, سخت کوش ، کوشا ، کوشنده ، ساعی ، پشت کاردار, ماهر ، زبر دست ، ساعی ، کوشا
ahmatti	ادم پر خور ، شکم پرست ، دله, خوک ، گراز ، خوک پرواری ، بزور گرفتن, خوک ، گراز ، مثل خوک رفتار کردن ، خوک زاییدن ، ادم حریص وکثیف ، قالب ریخته گری
ahmia	بلعیدن ، فرو بردن ، حریصانه خوردن, گلو ، حلق ، دره تنگ ، گلوگاه ، ابکند ، شکم ، گدار ، پر خوردن ، زیاد تپاندن ، با حرص و ولع خوردن ، پر خوری کردن ، پر خوری
ahnas	حریص ، ازمند ، مشتاق ، ارزومند ، متمایل, مشتاق ، ذیعلا قه ، ترد و شکننده, ازمند ، حریص ، طماع ، دندان گرد ، پر خور, گرسنه ، دچار گرسنگی ، حاکی از گرسنگی ، گرسنگی اور ، حریص ، مشتاق, تیزکردن ، شدیدبودن ، شدیدکردن ، نوحه سرایی کردن ، تیز ، پرزور ، تند ، حاد ، شدید ، تیز ، زیرک ، باهوش ، مشتاق, پر از اشتیاق ، مشتاق, بسیار گرسنه ، پر ولع ، پر اشتیاق, سبع ، پرخور ، حریص ، پرولع ، خیلی گرسنه
ahne	حریص ، ازمند ، مشتاق ، ارزومند ، متمایل, مشتاق ، ذیعلا قه ، ترد و شکننده, ازمند ، حریص ، طماع ، دندان گرد ، پر خور, تیزکردن ، شدیدبودن ، شدیدکردن ، نوحه سرایی کردن ، تیز ، پرزور ، تند ، حاد ، شدید ، تیز ، زیرک ، باهوش ، مشتاق
ahnehtia	اندوخته ، ذخیره ، احتکار ، ذخیره کردن  ، احتکارکردن ، انباشتن ، گنج, خوک ، گراز ، خوک پرواری ، بزور گرفتن
ahneus	زیاده جویی ، از ، حرص ، طمع, از ، حرص ، طمع ، حریص بودن ، طمع ورزیدن, از ، غارتگری ، یغماگری ، درنده خویی
aho	نقل وانتقال بانکی ، تسویه ، تسطیح ، مکان مسطح, چمن ، چمن زار ، مرغزار ، راغ ، علفزار
ahtaa	پرکردن ، چپاندن ، خودرا برای امتحان اماده کردن ، باشتاب یاد گرفتن, پر کردن ، سیر کردن ، نسخه پیچیدن ، پر شدن ، انباشتن ، اکندن ، باد کردن, تنگ هم چیدن ، خوب جا دادن ، پرکردن ، مخفی کردن ، پریدن ، انباشتن ، بازداشتن, چیز ، ماده ، کالا ، جنس ، مصالح ، پارچه ، چرند ، پرکردن ، تپاندن ، چپاندن ، انباشتن
ahven	نشیمن گاه پرنده ، چوب زیر پایی ، تیر ، میل ، جایگاه بلند ، جای امن ، نشستن ، قرار گرفتن ، فرود امدن ، درجای بلند قرار دادن
aidosti vhenev	کاهنده ، کاهشی
aie	نیت ، قصد ، مرام ، مفاد ، معنی ، منظور ، مصمم, قصد ، منظور ، خیال ، غرض ، مفهوم ، سگال, برنامه ، طرح ، نقشه ، تدبیر ، اندیشه ، خیال ، نقشه کشیدن, قصد ، عزم ، منظور ، هدف ، مقصود ، پیشنهاد ، در نظر داشتن ، قصد داشتن ، پیشنهادکردن ، نیت
aihe	بر امد ، پی امد ، نشریه ، فرستادن ، بیرون امدن ، خارج شدن ، صادر شدن ، ناشی شدن ، انتشار دادن ، رواج دادن ، نژاد ، نوع ، عمل ، کردار ، اولا د ، نتیجه بحث ، موضوع ، شماره, ماده ، جسم ، ذات ، ماهیت ، جوهر ، موضوع ، امر ، مطلب ، چیز ، اهمیت ، مهم بودن ، اهمیت داشتن, زیرموضوع ، مبتدا ، موکول به ، درمعرض گذاشتن, موضوع ، مطلب ، مقاله ، فرهشت ، انشاء ، ریشه ، زمینه ، مدار ، نت ، شاهد, موضوع ، مبحث ، عنوان ، سرفصل ، ضابطه
aiheuttaa	اوردن ، رساندن به ، موجب شدن, سبب وقوع امری شدن, سبب ، علت ، موجب ، انگیزه ، هدف ، مرافعه ، موضوع منازع فیه ، نهضت ، جنبش ، سبب شدن ، واداشتن ، ایجاد کردن (غالبا بامصدر)
aiheuttaja	پیشکار ، نماینده ، گماشته ، وکیل ، مامور ، عامل
aika	عمر ، سن ، پیری ، سن بلوغ ، رشد ، دوره ، عصر.(.vi &.vt): پیرشدن ، پیرنماکردن ، کهنه شدن(شراب), دوره ، مدت ، موقع ، گاه ، وقت ، روزگار ، عصر ، گردش ، نوبت ، ایست ، مکث ، نقطه پایان جمله ، جمله کامل ، قاعده زنان ، طمث ، حد ، پایان ، نتیجه غایی ، کمال ، منتهادرجه ، دوران مربوط به دوره بخصوصی, تاحدی ، قشنگ ، شکیل ، خوش نما ، خوب ، بطور دلپذیر ، قشنگ کردن ، اراستن, کاملا ، بکلی ، تماما ، سراسر ، واقعا, محدود کردن ، از روی للامت دادن ، مضایقه کردن ، کم دادن ، بقناعت واداشتن, لفظ ، اصطلا ح ، دوره ، شرط, وقت ، زمان ، گاه ، فرصت ، مجال ، زمانه ، ایام ، روزگار ، مد روز ، عهد ، مدت ، وقت معین کردن ، متقارن ساختن ، مرور زمان را ثبت کردن ، زمانی ، موقعی ، ساعتی
aikailla	بیهوده وقت گذراندن ، اتلا ف وقت ، اهمال کار
aikainen	زود ، بزودی ، مربوط به قدیم ، عتیق ، اولیه ، در اوایل ، در ابتدا
aikaisin	زود ، بزودی ، مربوط به قدیم ، عتیق ، اولیه ، در اوایل ، در ابتدا, بزودی ، زود ، عنقریب ، قریبا ، طولی نکشید
aikakausi	مبدا ، تاریخ ، اغاز تاریخ ، عصر ، دوره ، عهد ، عصرتاریخی ، دوران, دوره ، مدت ، موقع ، گاه ، وقت ، روزگار ، عصر ، گردش ، نوبت ، ایست ، مکث ، نقطه پایان جمله ، جمله کامل ، قاعده زنان ، طمث ، حد ، پایان ، نتیجه غایی ، کمال ، منتهادرجه ، دوران مربوط به دوره بخصوصی
aikakauslehti	مجله ، مخزن
aikamuoto	کشیده ، عصبی وهیجان زده ، زمان فعل ، تصریف زمان فعل ، سفت ، سخت ، ناراحت ، وخیم ، وخیم شدن ، تشدید یافتن
aikana	درمدت ، هنگام ، درجریان ، در طی, برای ، بجهت ، بواسطه ، بجای ، از طرف ، به بهای ، درمدت ، بقدر ، در برابر ، درمقابل ، برله ، بطرفداری از ، مربوط به ، مال ، برای اینکه ، زیرا که ، چونکه, در صورتیکه ، هنگامیکه ، حال انکه ، مادامیکه ، در حین ، تاموقعی که ، سپری کردن ، گذراندن, در خلا ل مدتی که ، در حالیکه ، درمدتی که ، ضمن اینکه
aikavli	فاصله ، مدت ، فرجه ، ایست ، وقفه ، فترت ، خلا ل
aikoa	قصد داشتن ، خیال داشتن ، فهمیدن ، معنی دادن ، بر ان بودن ، خواستن, باید ، بایست ، بایستی ، فعل معین, خواست ، اراده ، میل ، خواهش ، ارزو ، نیت ، قصد ، وصیت ، وصیت نامه ، خواستن ، اراده کردن ، وصیت کردن ، میل کردن ، فعل کمکی 'خواهم. 
aikomus	دانستن ، فرض کردن ، ارزیابی کردن ، شمردن ,رسیدن ، ناءل شدن(به) ، به نتیجه رسیدن ، قراول رفتن ، قصد داشتن ، هدف گیری کردن ، نشانه گرفتن.(.N) :حدس ، گمان ، جهت ، میدان ، مراد ، راهنمایی ، رهبری ، نشان ، هدف ، مقصد, طرح کردن ، قصد کردن ، تخصیص دادن ، :طرح ، نقشه ، زمینه ، تدبیر ، قصد ، خیال ، مقصود, نیت ، قصد ، مرام ، مفاد ، معنی ، منظور ، مصمم, قصد ، منظور ، خیال ، غرض ، مفهوم ، سگال, قصد ، عزم ، منظور ، هدف ، مقصود ، پیشنهاد ، در نظر داشتن ، قصد داشتن ، پیشنهادکردن ، نیت
aikuinen	بالغ ، بزرگ ، کبیر ، به حد رشد رسیده, بالغ ، رشد کردن ، کامل ، سررسیده شده
ailahteleva	نامنظم ، سرگردان ، غیرمعقول ، متلون ، غیرقابل پیش بینی ، دمدمی مزاج
aina	همواره ، همیشه ، پیوسته ، همه وقت, مخفف.رعو
ainainen	بدون عمر معینی ، نامحدود, ابدی ، ازلی ، جاودانی ، همیشگی ، فناناپذیر ، بی پایان ، داءمی ، پیوسته ، مکرر ، لا یزال ، جاوید, جاودانی ، ابدی ، ازلی ، همیشگی داءمی, همیشگی ، ابدی ، مدام, ایست ناپذیر ، بلا انقطاع ، بدون وقفه ، مسلسل ، پایان ناپذیر, بی پایان
ainaisesti	برای همیشه ، تا ابد ، جاویدان ، پیوسته ، تا ابدالا باد
aine	مقاله ، انشاء ، ازمایش کردن ، ازمودن ، سنجیدن ، عیارگیری کردن(فلزات) ، تالیف ، مقاله نویسی, ماده ، جسم ، ذات ، ماهیت ، جوهر ، موضوع ، امر ، مطلب ، چیز ، اهمیت ، مهم بودن ، اهمیت داشتن, جسم ، جوهر ، مفاد ، استحکام, خط ، دستخط ، نوشته ، نوشتجات ، نویسندگی
aineellinen	مادی ، جسمانی ، مهم ، عمده ، کلی ، جسمی ، اساسی ، اصولی ، مناسب ، مقتضی ، مربوط ، جسم ، ماده, مادی ، فیزیکی, قابل لمس ، محسوس ، پر ماس پذیر ، لمس کردنی
aineenvaihdunta	سوخت وساز ، دگرگونی ، متابولیزم ، تحولا ت بدن موجود زنده برای حفظ حیات
aineisto	مفروضات ، اطلا عات ، سوابق ، دانسته ها, مادی ، جسمانی ، مهم ، عمده ، کلی ، جسمی ، اساسی ، اصولی ، مناسب ، مقتضی ، مربوط ، جسم ، ماده
ainoa	فقط ، تنها ، محض ، بس ، بیگانه ، عمده ، صرفا ، منحصرا ، یگانه ، فقط بخاطر, کف پا ، تخت کفش ، تخت ، زیر ، قسمت ته هر چیز ، شالوده ، تنها ، یگانه ، منحصربفرد ، تخت زدن
ainoastaan	عادل ، دادگر ، منصف ، باانصاف ، بی طرف ، منصفانه ، مقتضی ، بجا ، مستحق ، :(d.g.) فقط ، درست ، تنها ، عینا ، الساعه ، اندکی پیش ، درهمان دم, فقط ، تنها ، محض ، بس ، بیگانه ، عمده ، صرفا ، منحصرا ، یگانه ، فقط بخاطر
ainutlaatuinen	بیتا ، بی همتا ، بیمانند ، بی نظیر ، یکتا ، یگانه ، فرد
airo	پارو ، پارو زدن, پاروی عقب کشتی ، پارو زدن
aistia	حواس پنجگانه ، حس ، احساس ، هوش ، شعور ، معنی ، مفاد ، حس تشخیص ، مفهوم ، احساس کردن ، پی بردن
aistillinen	وابسته به عشق شهوانی ، هوس ران ، شهوانی ، جسمانی ، خوش گذران ، نفسانی
aita	حصار ، دیوار ، پرچین ، محجر ، سپر ، شمشیر بازی ، خاکریز ، پناه دادن ، حفظ کردن ، نرده کشیدن ، شمشیر بازی کردن
aitio	غرفه ، جای ویژه در تاتر و غیره ، لژ
aito	اصلی ، بکر ، بدیع ، منبع ، سرچشمه, راستین ، حقیقی ، واقعی ، موجود ، غیر مصنوعی ، طبیعی ، اصل ، بی خدشه ، صمیمی, واقعی ، بتحقیق ، بحقیقت ، قابل اثبات حقیقت
aitoustodistus	گواهینامه ، شهادت نامه ، سند رسمی ، گواهی صادر کردن
aivan	بهیچ وجه ، ابدا, کاملا ، کلا ، سراسر, کاملا ، بطور اکمل ، تمام و کمال ، جمعا ، رویهم ، تماما
aivastaa	ستوسه ، عطسه ، عطسه کردن
aivo	مغز ، مخ ، کله ، هوش ، ذکاوت ، فهم ، مغز کسی را دراوردن ، بقتل رساندن
aivot	مغز ، مخ ، کله ، هوش ، ذکاوت ، فهم ، مغز کسی را دراوردن ، بقتل رساندن
ajaa	رفتن ، روانه ساختن ، رهسپار شدن ، عزیمت کردن ، گذشتن ، عبور کردن ، کارکردن ، گشتن ، رواج داشتن ، تمام شدن ، راه رفتن ، نابود شدن ، روی دادن ، بران بودن ، درصدد بودن ، راهی شدن, وادار کردن ، بر ان داشتن ، مجبور ساختن, تحریک کردن ، تهییج کردن ، دارای انگیزه شده, موتور ، محرک, بجلو راندن ، سوق دادن ، بردن ، حرکت دادن, سواری ، گردش سواره ، سوار شدن
ajaa takaa	تعقیب کردن ، دنبال کردن ، شکار کردن ، واداربه فرار کردن ، راندن واخراج کردن, تعقیب ، مسابقه ، شکار
ajaa tiehens	دور انداختن ، اشغال ، چیز دورانداخته ، چیز بی مصرف
ajajan istuin	صندلی لژ
ajallinen	دنیوی ، غیر روحانی ، جسمانی ، زمانی ، وابسته بگیجگاه ، شقیقه ای ، موقتی ، زودگذرفانی
ajan	بالا ی ، روی ، بالا ی سر ، بر فراز ، ان طرف ، درسرتاسر ، دربالا ، بسوی دیگر ، متجاوز از ، بالا یی ، رویی ، بیرونی ، شفا یافتن ، پایان یافتن ، به انتها رسیدن ، پیشوندی بمعنی زیادو زیاده و بیش
ajanjakso	عمر ، سن ، پیری ، سن بلوغ ، رشد(با Of) ، دوره ، عصر.(.vi &.vt): پیرشدن ، پیرنماکردن ، کهنه شدن(شراب), مبدا تاریخ ، اغاز فصل جدید ، عصر ، دوره ، عصرتاریخی ، حادثه تاریخی, مبدا ، تاریخ ، اغاز تاریخ ، عصر ، دوره ، عهد ، عصرتاریخی ، دوران, دوره ، مدت ، موقع ، گاه ، وقت ، روزگار ، عصر ، گردش ، نوبت ، ایست ، مکث ، نقطه پایان جمله ، جمله کامل ، قاعده زنان ، طمث ، حد ، پایان ، نتیجه غایی ، کمال ، منتهادرجه ، دوران مربوط به دوره بخصوصی
ajankohta	لحظه ، دم ، ان ، هنگام ، زمان ، اهمیت, وقت ، زمان ، گاه ، فرصت ، مجال ، زمانه ، ایام ، روزگار ، مد روز ، عهد ، مدت ، وقت معین کردن ، متقارن ساختن ، مرور زمان را ثبت کردن ، زمانی ، موقعی ، ساعتی
ajankohtainen	معاصر ، همزمان ، هم دوره, جریان ، رایج ، جاری, بموقع ، بهنگام ، بجا ، بوقت ، بگاه
ajanlasku	تقویم, شرح وقایع بترتیب زمانی
ajanviete	سرگرمی ، تفریح ، گیجی ، گمراهی ، فریب خوردگی ، پذیرایی ، نمایش, پذیرایی ، سرگرمی, مشغولیات ، سرگرمی ، تفریح ، کاروقت گذران ، ورزش
ajastin	کسی که وقت را نگه می دارد ، ساعت
ajatella	اندیشه کردن ، درعالم فکر فرورفتن, تصور کردن ، پنداشتن ، فرض کردن ، انگاشتن ، حدس زدن ، تفکر کردن, تفکر کردن ، اندیشه کردن ، قصد کردن ، تدبیر کردن ، سربجیب تفکر فرو بردن ، عبادت کردن, سنجیدن ، اندیشه کردن ، تعمق کردن ، تفکر کردن ، سنجش, بازتابیدن ، منعکس کردن ، تامل کردن
ajaton	نامناسب ، بی انتها
ajattelematon	بی پروا, تند ، عجول ، بی پروا ، بی احتیاط ، محل خارش یا تحریک روی پوست ، جوش ، دانه, بی پروا ، بی بیاک ، بی ملا حظه ، بی اعتنا, بی فکر ، بی ملا حظه ، لا قید ، ناشی از بی فکری
ajattelija	هوش ، فهم ، قوه درک ، عقل ، خرد ، سابقه, عقلا نی ، ذهنی ، فکری ، خردمند ، روشنفکر, اندیشمند ، فکر کننده ، متفکر ، فکور
ajatus	انگاره ، تصور ، اندیشه ، فکر ، خیال ، گمان ، نیت ، مقصود ، معنی ، اگاهی ، خبر ، نقشه کار ، طرزفکر, تصور ، اندیشه ، فکر ، نظریه ، خیال ، ادراک ، فکری, گمان ، اندیشه ، فکر ، افکار ، خیال ، عقیده ، نظر ، قصد ، سر ، مطلب ، چیزفکری ، استدلا ل ، تفکر
ajatusmaailma	مبحث افکار و ارزوهای باطنی ، خیال ، طرز تفکر ، ایدءولوژی ، انگارگان, فلسفه ، حکمت ، وارستگی ، بردباری ، تجرد
ajatustapa	گرایش ، حالت ، هیلت ، طرز برخورد ، روش و رفتار
ajo	سواری ، گردش سواره ، سوار شدن
ajo-onginta	راندگی
ajoneuvo	وسیله نقلیه ، ناقل ، حامل ، رسانه ، برندگر ، رسانگر
ajopuu	چوب اب اورده ، تخته پاره روی اب
